Episode,Reward,Epsilon,Duration
0,-20.0,0.9805112700583191,0
1,-21.0,0.9713608563772498,0
2,-21.0,0.9626475646867363,0
3,-21.0,0.9525149377578557,0
4,-19.0,0.9407850595365408,0
5,-20.0,0.930673046024282,0
6,-21.0,0.9193092480070343,0
7,-20.0,0.9102695629269544,0
8,-21.0,0.901483928977028,0
9,-21.0,0.892702766884531,0
10,-20.0,0.8836661430472836,0
11,-21.0,0.8744036091127442,0
12,-21.0,0.8655051276726982,0
13,-18.0,0.8548194451418779,0
14,-18.0,0.8430486300216273,0
15,-19.0,0.8334771764005962,0
16,-20.0,0.8244937017278725,0
17,-18.0,0.8147834141534098,0
18,-21.0,0.8077466142287721,0
19,-20.0,0.7998526109635972,0
Episode,Reward,Epsilon,Duration
0,-20.0,0.9805112700583191,0
1,-21.0,0.9713608563772498,0
2,-21.0,0.9626475646867363,0
3,-21.0,0.9525149377578557,0
4,-19.0,0.9407850595365408,0
5,-20.0,0.930673046024282,0
6,-21.0,0.9193092480070343,0
7,-20.0,0.9102695629269544,0
8,-21.0,0.901483928977028,0
9,-21.0,0.892702766884531,0
10,-20.0,0.8836661430472836,0
11,-21.0,0.8744036091127442,0
12,-21.0,0.8655051276726982,0
13,-18.0,0.8548194451418779,0
14,-18.0,0.8430486300216273,0
15,-19.0,0.8334771764005962,0
16,-20.0,0.8244937017278725,0
17,-18.0,0.8147834141534098,0
18,-21.0,0.8077466142287721,0
19,-20.0,0.7998526109635972,0
20,-21.0,0.791613798140182,0
21,-21.0,0.7842447612860095,0
22,-21.0,0.7758778358160917,0
23,-21.0,0.7689279374304182,0
24,-20.0,0.7596817733308027,0
25,-20.0,0.7498156220597278,0
26,-21.0,0.7433470234507856,0
27,-19.0,0.7333711225408754,0
28,-20.0,0.7230876247079207,0
29,-20.0,0.7150489801444238,0
30,-19.0,0.7049060414467133,0
31,-19.0,0.6964084721503194,0
32,-17.0,0.6857011235172079,0
33,-18.0,0.6773462906701334,0
34,-21.0,0.6710852751646095,0
35,-20.0,0.6632344246801695,0
36,-19.0,0.6549644376418948,0
37,-21.0,0.6476719440759935,0
38,-21.0,0.6406723946950583,0
39,-18.0,0.631692762780641,0
Episode,Reward,Epsilon,Duration
0,-20.0,0.9805112700583191,0
1,-21.0,0.9713608563772498,0
2,-21.0,0.9626475646867363,0
3,-21.0,0.9525149377578557,0
4,-19.0,0.9407850595365408,0
5,-20.0,0.930673046024282,0
6,-21.0,0.9193092480070343,0
7,-20.0,0.9102695629269544,0
8,-21.0,0.901483928977028,0
9,-21.0,0.892702766884531,0
10,-20.0,0.8836661430472836,0
11,-21.0,0.8744036091127442,0
12,-21.0,0.8655051276726982,0
13,-18.0,0.8548194451418779,0
14,-18.0,0.8430486300216273,0
15,-19.0,0.8334771764005962,0
16,-20.0,0.8244937017278725,0
17,-18.0,0.8147834141534098,0
18,-21.0,0.8077466142287721,0
19,-20.0,0.7998526109635972,0
20,-21.0,0.791613798140182,0
21,-21.0,0.7842447612860095,0
22,-21.0,0.7758778358160917,0
23,-21.0,0.7689279374304182,0
24,-20.0,0.7596817733308027,0
25,-20.0,0.7498156220597278,0
26,-21.0,0.7433470234507856,0
27,-19.0,0.7333711225408754,0
28,-20.0,0.7230876247079207,0
29,-20.0,0.7150489801444238,0
30,-19.0,0.7049060414467133,0
31,-19.0,0.6964084721503194,0
32,-17.0,0.6857011235172079,0
33,-18.0,0.6773462906701334,0
34,-21.0,0.6710852751646095,0
35,-20.0,0.6632344246801695,0
36,-19.0,0.6549644376418948,0
37,-21.0,0.6476719440759935,0
38,-21.0,0.6406723946950583,0
39,-18.0,0.631692762780641,0
40,-20.0,0.6253925615961844,0
41,-16.0,0.6152984990896679,0
42,-20.0,0.6069137916865334,0
43,-21.0,0.599872773216741,0
44,-19.0,0.5934719289391222,0
45,-18.0,0.5860124830100519,0
46,-20.0,0.5775108317494275,0
47,-20.0,0.5687230175006261,0
48,-19.0,0.5610661364579714,0
49,-16.0,0.5504578372485965,0
50,-21.0,0.5430636259695721,0
51,-16.0,0.533464263765547,0
52,-21.0,0.5258156322820939,0
53,-18.0,0.5164045863818945,0
54,-19.0,0.509740927302955,0
55,-20.0,0.5029096584279383,0
56,-20.0,0.49523276341271005,0
