Episode,Reward,Epsilon,Duration
0,14.0,0.02,0
1,3.0,0.02,0
2,11.0,0.02,0
3,15.0,0.02,0
4,11.0,0.02,0
5,16.0,0.02,0
6,15.0,0.02,0
7,11.0,0.02,0
8,15.0,0.02,0
9,20.0,0.02,0
10,15.0,0.02,0
11,14.0,0.02,0
12,19.0,0.02,0
13,13.0,0.02,0
14,13.0,0.02,0
15,13.0,0.02,0
16,16.0,0.02,0
17,20.0,0.02,0
18,16.0,0.02,0
19,19.0,0.02,0
20,15.0,0.02,0
21,14.0,0.02,0
22,19.0,0.02,0
23,8.0,0.02,0
24,8.0,0.02,0
25,2.0,0.02,0
26,18.0,0.02,0
27,18.0,0.02,0
28,14.0,0.02,0
29,13.0,0.02,0
30,2.0,0.02,0
31,11.0,0.02,0
32,8.0,0.02,0
33,2.0,0.02,0
34,12.0,0.02,0
35,10.0,0.02,0
36,12.0,0.02,0
37,14.0,0.02,0
38,5.0,0.02,0
39,15.0,0.02,0
40,11.0,0.02,0
41,17.0,0.02,0
42,11.0,0.02,0
43,11.0,0.02,0
44,17.0,0.02,0
45,19.0,0.02,0
46,21.0,0.02,0
47,14.0,0.02,0
48,21.0,0.02,0
49,3.0,0.02,0
50,14.0,0.02,0
51,19.0,0.02,0
52,18.0,0.02,0
53,8.0,0.02,0
54,21.0,0.02,0
55,18.0,0.02,0
56,15.0,0.02,0
57,15.0,0.02,0
58,14.0,0.02,0
59,20.0,0.02,0
60,14.0,0.02,0
61,17.0,0.02,0
62,19.0,0.02,0
63,20.0,0.02,0
64,17.0,0.02,0
65,18.0,0.02,0
66,17.0,0.02,0
67,18.0,0.02,0
68,14.0,0.02,0
69,19.0,0.02,0
70,19.0,0.02,0
71,19.0,0.02,0
72,2.0,0.02,0
73,17.0,0.02,0
74,17.0,0.02,0
75,18.0,0.02,0
76,19.0,0.02,0
77,13.0,0.02,0
78,8.0,0.02,0
79,8.0,0.02,0
80,14.0,0.02,0
81,15.0,0.02,0
82,20.0,0.02,0
83,19.0,0.02,0
84,10.0,0.02,0
85,17.0,0.02,0
86,12.0,0.02,0
87,18.0,0.02,0
88,12.0,0.02,0
89,12.0,0.02,0
90,18.0,0.02,0
91,15.0,0.02,0
92,20.0,0.02,0
93,13.0,0.02,0
94,14.0,0.02,0
95,17.0,0.02,0
96,19.0,0.02,0
97,19.0,0.02,0
98,15.0,0.02,0
99,14.0,0.02,0
100,15.0,0.02,0
101,18.0,0.02,0
102,16.0,0.02,0
103,14.0,0.02,0
104,18.0,0.02,0
105,16.0,0.02,0
106,17.0,0.02,0
107,17.0,0.02,0
108,14.0,0.02,0
109,19.0,0.02,0
110,15.0,0.02,0
111,13.0,0.02,0
112,16.0,0.02,0
113,20.0,0.02,0
114,14.0,0.02,0
115,16.0,0.02,0
116,11.0,0.02,0
117,15.0,0.02,0
118,18.0,0.02,0
119,20.0,0.02,0
120,16.0,0.02,0
121,18.0,0.02,0
122,13.0,0.02,0
123,13.0,0.02,0
124,17.0,0.02,0
125,18.0,0.02,0
126,12.0,0.02,0
127,19.0,0.02,0
128,20.0,0.02,0
129,15.0,0.02,0
130,20.0,0.02,0
131,20.0,0.02,0
132,21.0,0.02,0
133,18.0,0.02,0
134,21.0,0.02,0
135,21.0,0.02,0
136,15.0,0.02,0
137,18.0,0.02,0
138,18.0,0.02,0
139,20.0,0.02,0
140,15.0,0.02,0
141,19.0,0.02,0
142,20.0,0.02,0
143,15.0,0.02,0
144,21.0,0.02,0
145,19.0,0.02,0
146,8.0,0.02,0
147,18.0,0.02,0
148,19.0,0.02,0
149,17.0,0.02,0
150,21.0,0.02,0
151,18.0,0.02,0
152,-1.0,0.02,0
153,17.0,0.02,0
154,18.0,0.02,0
155,18.0,0.02,0
156,15.0,0.02,0
157,18.0,0.02,0
158,4.0,0.02,0
159,14.0,0.02,0
160,18.0,0.02,0
161,14.0,0.02,0
162,7.0,0.02,0
163,10.0,0.02,0
164,11.0,0.02,0
165,13.0,0.02,0
166,16.0,0.02,0
167,16.0,0.02,0
168,13.0,0.02,0
169,16.0,0.02,0
170,20.0,0.02,0
171,10.0,0.02,0
172,15.0,0.02,0
173,16.0,0.02,0
174,16.0,0.02,0
175,13.0,0.02,0
176,16.0,0.02,0
177,13.0,0.02,0
178,3.0,0.02,0
179,15.0,0.02,0
180,12.0,0.02,0
