Episode,Reward,Epsilon,Duration
266,-20,0.038761175358307,0
267,-20,0.038299984198805,0
268,-17,0.037899764431803,0
269,-20,0.037540791040825,0
270,-13,0.036937824950943,0
271,-16,0.036432886226373,0
272,-16,0.035967724926553,0
273,-20,0.035602185064047,0
274,-17,0.035098092478164,0
275,-18,0.034647309782476,0
276,-21,0.034311880117327,0
277,-15,0.033937286724076,0
278,-18,0.033598126019012,0
279,-18,0.033184818341555,0
280,-16,0.032621056634824,0
281,-12,0.032095056775763,0
282,-19,0.031764087018744,0
283,-15,0.031308679975557,0
284,-17,0.030926982259844,0
285,-16,0.030548906472709,0
286,-18,0.030245231475148,0
287,-16,0.029879364768086,0
288,-19,0.029575417779699,0
289,-14,0.029135905418073,0
290,-15,0.028814701470154,0
291,-19,0.028508218028077,0
292,-19,0.028203878594203,0
293,-16,0.027842335459365,0
294,-19,0.027555857499553,0
295,-16,0.02721751239852,0
296,-16,0.026880769288942,0
297,-17,0.026540151381686,0
298,-18,0.026273337936322,0
299,-14,0.025857631784775,0
300,-18,0.025649736460663,0
301,-16,0.025383121789904,0
302,-20,0.025231976068966,0
303,-19,0.025013786312143,0
304,-20,0.0247871710549,0
305,-19,0.024524223072181,0
306,-18,0.024335334029891,0
307,-11,0.02399529766127,0
308,-15,0.0237353994099,0
309,-16,0.023474588758548,0
310,-17,0.02319304898229,0
311,-13,0.022922166518513,0
312,-15,0.022661952044564,0
313,-7,0.022294727158763,0
314,-7,0.021949816270679,0
315,-13,0.021662413615168,0
316,-12,0.021341433583352,0
317,-14,0.021076923541219,0
318,-11,0.020785858284643,0
319,-18,0.020601143200757,0
320,-19,0.020438493895684,0
321,-11,0.020155339514549,0
322,-12,0.02,0
323,-9,0.02,0
324,-16,0.02,0
325,-4,0.02,0
326,-11,0.02,0
327,-19,0.02,0
328,-14,0.02,0
329,-9,0.02,0
330,-15,0.02,0
331,-12,0.02,0
332,-14,0.02,0
333,-10,0.02,0
334,-18,0.02,0
335,-15,0.02,0
336,-14,0.02,0
337,-9,0.02,0
338,-10,0.02,0
339,-17,0.02,0
340,-13,0.02,0
341,-18,0.02,0
342,-20,0.02,0
343,-16,0.02,0
344,-14,0.02,0
345,-18,0.02,0
346,-15,0.02,0
347,-9,0.02,0
348,-10,0.02,0
349,-10,0.02,0
350,-6,0.02,0
351,-10,0.02,0
352,-9,0.02,0
353,-13,0.02,0
354,-15,0.02,0
355,-11,0.02,0
356,-17,0.02,0
357,-16,0.02,0
358,-19,0.02,0
359,-17,0.02,0
360,-17,0.02,0
361,-11,0.02,0
362,-8,0.02,0
363,-14,0.02,0
364,-16,0.02,0
365,-14,0.02,0
366,-11,0.02,0
367,-14,0.02,0
368,-12,0.02,0
369,-17,0.02,0
370,-20,0.02,0
371,-13,0.02,0
372,-11,0.02,0
373,-11,0.02,0
374,-12,0.02,0
375,-18,0.02,0
376,-13,0.02,0
377,-13,0.02,0
378,-11,0.02,0
379,-10,0.02,0
380,-8,0.02,0
381,-12,0.02,0
382,-7,0.02,0
383,-12,0.02,0
384,-6,0.02,0
385,-15,0.02,0
386,-18,0.02,0
387,-11,0.02,0
388,-10,0.02,0
389,-17,0.02,0
390,-7,0.02,0
391,-10,0.02,0
392,-9,0.02,0
393,-5,0.02,0
394,-17,0.02,0
395,-10,0.02,0
396,-4,0.02,0
397,-12,0.02,0
398,-8,0.02,0
399,-14,0.02,0
400,-16,0.02,0
401,-14,0.02,0
402,-17,0.02,0
403,-11,0.02,0
404,-17,0.02,0
405,-9,0.02,0
406,-12,0.02,0
407,-7,0.02,0
408,-13,0.02,0
409,-17,0.02,0
410,-12,0.02,0
411,-9,0.02,0
412,-20,0.02,0
413,-16,0.02,0
414,-10,0.02,0
415,-19,0.02,0
416,-15,0.02,0
417,-17,0.02,0
418,-6,0.02,0
419,-12,0.02,0
420,-9,0.02,0
421,-13,0.02,0
422,-14,0.02,0
423,-18,0.02,0
424,5,0.02,0
425,-9,0.02,0
426,-9,0.02,0
427,-9,0.02,0
428,-8,0.02,0
429,-12,0.02,0
430,-15,0.02,0
431,-6,0.02,0
432,-1,0.02,0
433,-12,0.02,0
434,5,0.02,0
435,-20,0.02,0
436,-17,0.02,0
437,-17,0.02,0
438,-17,0.02,0
439,4,0.02,0
440,6,0.02,0
441,-10,0.02,0
442,-6,0.02,0
443,-13,0.02,0
444,-8,0.02,0
445,6,0.02,0
446,-18,0.02,0
447,-1,0.02,0
448,-19,0.02,0
449,15,0.02,0
450,-12,0.02,0
451,13,0.02,0
452,20,0.02,0
453,-13,0.02,0
454,-2,0.02,0
455,11,0.02,0
456,-16,0.02,0
457,-1,0.02,0
458,-21,0.02,0
459,19,0.02,0
460,14,0.02,0
461,17,0.02,0
462,-21,0.02,0
463,12,0.02,0
464,8,0.02,0
465,-19,0.02,0
466,-7,0.02,0
467,-16,0.02,0
468,-8,0.02,0
469,-13,0.02,0
470,11,0.02,0
471,-4,0.02,0
472,-15,0.02,0
473,-4,0.02,0
474,-16,0.02,0
475,-17,0.02,0
476,-19,0.02,0
477,-7,0.02,0
478,-14,0.02,0
479,-19,0.02,0
480,-15,0.02,0
481,-9,0.02,0
482,-7,0.02,0
483,-3,0.02,0
484,7,0.02,0
485,-14,0.02,0
486,-1,0.02,0
487,9,0.02,0
488,-11,0.02,0
489,-7,0.02,0
490,-5,0.02,0
491,-4,0.02,0
492,-18,0.02,0
493,-16,0.02,0
494,9,0.02,0
495,-6,0.02,0
496,-7,0.02,0
497,20,0.02,0
498,20,0.02,0
499,10,0.02,0
500,5,0.02,0
