Episode,Reward,Epsilon,Duration
1,-20.0,0.977767062090469,0
2,-21.0,0.9686425273607292,0
3,-20.0,0.9588938291578203,0
4,-21.0,0.9499364571967979,0
5,-20.0,0.9395430932978945,0
6,-20.0,0.9301009676438384,0
7,-21.0,0.9198117791853089,0
8,-21.0,0.9109433732115881,0
9,-20.0,0.8999665518379593,0
10,-19.0,0.8893157800921413,0
11,-19.0,0.8775234241086947,0
12,-21.0,0.868454473313158,0
13,-21.0,0.8607719875235043,0
14,-20.0,0.8517231653675393,0
15,-18.0,0.8399095248205941,0
16,-21.0,0.8322175233228671,0
17,-20.0,0.8233975765253977,0
18,-20.0,0.8146074343328434,0
19,-21.0,0.8075721735087716,0
20,-20.0,0.7998980683302189,0
21,-21.0,0.7929914540377037,0
22,-19.0,0.7839240130529533,0
23,-21.0,0.7758337611254059,0
24,-21.0,0.7676885554959589,0
25,-21.0,0.7601478695021735,0
26,-20.0,0.7516145005581871,0
27,-19.0,0.7428998045549031,0
28,-21.0,0.7359901596578454,0
29,-20.0,0.727616028900145,0
30,-21.0,0.7206214662285408,0
31,-19.0,0.712238736124525,0
32,-16.0,0.7009264323805307,0
33,-21.0,0.6940424803275019,0
34,-21.0,0.6872583144288036,0
35,-21.0,0.681197768237548,0
36,-19.0,0.6730054574633856,0
37,-19.0,0.6654032993437459,0
38,-21.0,0.6584627626646712,0
39,-21.0,0.6512413962842584,0
40,-21.0,0.6449914603464216,0
41,-19.0,0.6381297733958704,0
42,-20.0,0.6312135492386409,0
43,-21.0,0.62515179807375,0
44,-19.0,0.6179305601482913,0
45,-20.0,0.6103379296122241,0
46,-20.0,0.603946517935392,0
47,-20.0,0.5982592364657027,0
48,-21.0,0.5927136085330171,0
49,-21.0,0.5872202780344344,0
50,-21.0,0.5820552014468009,0
51,-18.0,0.5750213125402888,0
52,-20.0,0.5690767923587563,0
53,-20.0,0.5636916528222679,0
54,-20.0,0.5574566853868745,0
55,-20.0,0.5502277481746973,0
56,-21.0,0.5442243691975486,0
57,-21.0,0.5387378280372529,0
58,-21.0,0.5330306937124835,0
59,-20.0,0.5271351640834436,0
60,-20.0,0.5213531902501964,0
61,-21.0,0.5160200913658349,0
62,-21.0,0.5108867236679294,0
63,-20.0,0.5053719961296746,0
64,-19.0,0.4996643614049338,0
65,-21.0,0.4949424747204859,0
66,-21.0,0.49037116414278703,0
67,-21.0,0.4859196335730373,0
68,-21.0,0.4814334119061091,0
69,-20.0,0.47657050442698906,0
70,-21.0,0.4710674921266436,0
71,-21.0,0.4666425003116787,0
72,-21.0,0.46177623225004233,0
73,-21.0,0.4566070818642998,0
74,-21.0,0.4518071289644899,0
75,-20.0,0.4464205045025255,0
