Episode,Reward,Epsilon,Duration
1,-21.0,0.9809693941484873,0
2,-20.0,0.9690840081028229,0
3,-20.0,0.9593636018078618,0
4,-20.0,0.9491686138429511,0
5,-21.0,0.9395109954789143,0
6,-20.0,0.92945515861468,0
7,-21.0,0.9206289848831287,0
8,-18.0,0.9083648932270992,0
9,-18.0,0.8972765028859591,0
10,-20.0,0.8875665560266996,0
11,-21.0,0.8778030612166516,0
12,-21.0,0.8697597594987957,0
13,-18.0,0.8596074693672942,0
14,-21.0,0.8510355704948631,0
15,-21.0,0.8436817131135043,0
16,-21.0,0.8347197742726369,0
17,-20.0,0.8266151885106486,0
18,-20.0,0.8183111065716115,0
19,-20.0,0.8098060578503975,0
20,-19.0,0.8004437608840822,0
21,-19.0,0.7901308079499506,0
22,-20.0,0.7807770595124696,0
23,-21.0,0.7732641948440799,0
24,-20.0,0.7656158201106769,0
25,-20.0,0.7570202334555571,0
26,-19.0,0.7481400404390482,0
27,-20.0,0.7381743472691271,0
28,-19.0,0.7284176534804757,0
29,-21.0,0.7209241547807405,0
30,-21.0,0.7135898153206106,0
31,-17.0,0.7033880635205451,0
32,-20.0,0.6956820323734133,0
33,-20.0,0.6868530997969668,0
34,-19.0,0.6767628047578703,0
35,-19.0,0.6690189396018008,0
36,-19.0,0.6603163309800206,0
37,-20.0,0.6529929068015184,0
38,-21.0,0.6436627410682385,0
39,-19.0,0.6356550100729829,0
40,-19.0,0.6281538974569006,0
41,-19.0,0.6203141194589061,0
42,-19.0,0.6123727182621153,0
43,-20.0,0.6055550964493289,0
44,-15.0,0.5962181616201764,0
45,-19.0,0.5879514920091723,0
46,-18.0,0.5788775395072617,0
47,-17.0,0.570274855744823,0
48,-15.0,0.5609583316349878,0
49,-18.0,0.5519838757718315,0
50,-18.0,0.5433950092063164,0
51,-16.0,0.535238409561484,0
52,-20.0,0.5296348400392524,0
53,-20.0,0.5217299606296418,0
54,-20.0,0.5147056980848222,0
55,-14.0,0.505868221014382,0
56,-20.0,0.49884794387467263,0
57,-17.0,0.4907527597537438,0
58,-19.0,0.48349953271489277,0
59,-19.0,0.4765651351690406,0
60,-14.0,0.4661383000997659,0
61,-17.0,0.4577340418565407,0
62,-19.0,0.4504872160479735,0
63,-17.0,0.4429191104959269,0
64,-19.0,0.4353831799405143,0
65,-19.0,0.42774287351941,0
66,-17.0,0.4210762853416924,0
67,-16.0,0.4121907646408862,0
68,-17.0,0.4049763030422647,0
69,-20.0,0.39903564979065187,0
70,-17.0,0.391490579804867,0
71,-20.0,0.38616383910489704,0
72,-20.0,0.3786775862103832,0
73,-17.0,0.37228545180442457,0
74,-14.0,0.36404745446580355,0
75,-16.0,0.3578410681826246,0
76,-17.0,0.35060903285007045,0
77,-13.0,0.3424240557128785,0
78,-13.0,0.3347907023904812,0
79,-17.0,0.3280381876758694,0
80,-18.0,0.3226611851523496,0
81,-15.0,0.31628431537578366,0
82,-16.0,0.3092997676737626,0
83,-15.0,0.3031281276686888,0
84,-10.0,0.2959795023942516,0
85,-15.0,0.28868773674070064,0
86,-17.0,0.28408047707177037,0
87,-18.0,0.279747976357038,0
88,-12.0,0.2722994295326286,0
89,-14.0,0.26690603317150763,0
90,-13.0,0.2604194560757904,0
91,-15.0,0.25487019927533516,0
92,-11.0,0.24848191168479694,0
93,-15.0,0.24270969994212527,0
94,-11.0,0.23635233476086823,0
95,-18.0,0.23165784816148774,0
96,-11.0,0.22613153680932732,0
97,-14.0,0.22093713705250426,0
98,-13.0,0.21497695258134616,0
99,-13.0,0.2102880149659504,0
100,-16.0,0.20569744041550084,0
101,-10.0,0.20003927896004822,0
102,-13.0,0.19540430424420846,0
103,-12.0,0.19086585291925717,0
104,-15.0,0.1865096469124328,0
105,-10.0,0.18226442031881276,0
106,-10.0,0.17739799904932624,0
107,-10.0,0.17317127966969187,0
108,-7.0,0.16779813569109217,0
109,-11.0,0.16312591077637714,0
110,-10.0,0.15899936425534836,0
111,-9.0,0.1542409827226018,0
112,-13.0,0.15072094951130866,0
113,-9.0,0.14671364906921122,0
114,-2.0,0.14167133584105765,0
115,-6.0,0.137706133296178,0
116,-7.0,0.13365567993310726,0
117,-15.0,0.1309427535319464,0
118,-7.0,0.12670540547498693,0
119,-9.0,0.12332694931300658,0
120,-12.0,0.12046713118277204,0
121,-10.0,0.1169004069223594,0
122,-12.0,0.114158756412571,0
123,-5.0,0.11041115684609387,0
124,-10.0,0.10735296866242744,0
125,-5.0,0.10352781016277422,0
126,-10.0,0.10057869698446276,0
127,-5.0,0.09748328352607782,0
128,-12.0,0.09471057871448377,0
129,-14.0,0.09248791828235348,0
130,-5.0,0.0896183894622517,0
131,-6.0,0.0870857890442961,0
132,-6.0,0.0844507894788053,0
133,-4.0,0.08138460437576713,0
134,-2.0,0.07859763348936633,0
135,-4.0,0.07594247890565144,0
