Episode,Reward,Epsilon,Duration
500,20.0,0.02,0
501,18.0,0.02,0
502,13.0,0.02,0
503,19.0,0.02,0
504,20.0,0.02,0
505,21.0,0.02,0
506,21.0,0.02,0
507,21.0,0.02,0
508,20.0,0.02,0
509,21.0,0.02,0
510,21.0,0.02,0
511,19.0,0.02,0
512,21.0,0.02,0
513,21.0,0.02,0
514,20.0,0.02,0
515,19.0,0.02,0
516,20.0,0.02,0
517,18.0,0.02,0
518,19.0,0.02,0
519,19.0,0.02,0
520,19.0,0.02,0
521,20.0,0.02,0
522,21.0,0.02,0
523,21.0,0.02,0
524,19.0,0.02,0
525,21.0,0.02,0
526,20.0,0.02,0
527,21.0,0.02,0
528,20.0,0.02,0
529,19.0,0.02,0
530,19.0,0.02,0
531,18.0,0.02,0
532,21.0,0.02,0
533,20.0,0.02,0
534,14.0,0.02,0
535,20.0,0.02,0
536,21.0,0.02,0
537,20.0,0.02,0
538,19.0,0.02,0
539,17.0,0.02,0
540,20.0,0.02,0
541,20.0,0.02,0
542,18.0,0.02,0
543,21.0,0.02,0
544,20.0,0.02,0
545,20.0,0.02,0
546,21.0,0.02,0
547,17.0,0.02,0
548,21.0,0.02,0
549,14.0,0.02,0
550,20.0,0.02,0
